Open Time,Open,High,Low,Close,Volume,Close time,QAV,No. of trades,Taker buy base,Taker buy quote,Ignore,,,
1.66E+12,23350.39,23414.35,23182.55,23263.92,10167.9159,1.66E+12,237146575.9,313980,4872.55587,113650570.8,0,1660042800,11:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23263.34,23307.3,23200.27,23244.76,6710.68571,1.66E+12,156105263.3,247205,3300.9903,76793710.08,0,1660046400,12:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23245.15,23327.07,23012.85,23068.42,10670.07679,1.66E+12,247833131.5,327054,5076.30239,117951338.2,0,1660050000,1:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23068.42,23125.15,22865,23098.85,11832.48045,1.66E+12,272308089.9,352927,5845.37169,134548601.1,0,1660053600,2:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23098.85,23157.89,23029.15,23075,5970.90076,1.66E+12,137949092.9,209553,2992.28675,69135735.3,0,1660057200,3:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23075,23120,22988.09,23071.96,6820.89382,1.66E+12,157324406.6,233239,3398.63063,78395881.66,0,1660060800,4:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23071.96,23132.11,22970,23053.98,5990.06509,1.66E+12,138142121.6,199751,3014.48676,69526358.3,0,1660064400,5:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23053.98,23073.96,22986,23053.55,4731.44269,1.66E+12,108992493.8,167289,2426.04417,55888153.61,0,1660068000,6:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23051.41,23098,23006,23053.82,4886.07604,1.66E+12,112643054.4,161861,2539.40754,58544299.3,0,1660071600,7:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23053.82,23184.97,23050,23137.35,4211.54854,1.66E+12,97366999.13,148580,2293.07945,53015159.55,0,1660075200,8:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23137.35,23217.57,23123.47,23191.6,3433.90433,1.66E+12,79611555.46,121840,1689.78431,39176301.45,0,1660078800,9:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23191.6,23265,23117.92,23170.32,5250.1997,1.66E+12,121809339.7,177470,2635.14783,61146777.05,0,1660082400,10:00:00 pm,"Tuesday, 9 August 2022"
1.66E+12,23170.32,23242.23,23133.31,23149.95,4268.8667,1.66E+12,99012583.41,140501,2063.4657,47862427.17,0,1660086000,11:00:00 pm,"Tuesday, 9 August 2022"
